,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
832,RHI,RE-PIE PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,17.73,6,4.818,18.8468,,,,,,,,,2.0,2.0,0.0,
833,RBP,RE-PIE PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,1390.0,1,3.8874,12.3286,24.6333,30.6613,,,,,,,0.9,0.9,0.0,
834,RKH,RE-PIE PORTFÖY KATILIM HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,4.89,7,4.0278,8.8901,-4.2379,-9.603,,,,,,,2.5,2.5,0.0,
835,RRP,RE-PIE PORTFÖY PARA PİYASASI KATILIM (TL) FON,Katılım Şemsiye Fonu,8.78,3,3.6407,11.5841,,,,,,,,,0.9,0.9,0.0,
836,RD1,ROTA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,43.15,4,2.2238,7.1413,20.7738,27.3026,,,,,,,2.0,0.0,0.0,
837,RS1,ROTA PORTFÖY BİRİNCİ KISA VADELİ SERBEST FON,Serbest Şemsiye Fonu,612.81,7,3.8799,,,,,,,,,,1.0,0.0,0.0,
838,RKC,ROTA PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,2.15,4,2.4538,,,,,,,,,,2.0,0.0,0.0,
839,RIA,ROTA PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,22.4,7,,,,,,,,,,,3.6,0.0,0.0,
840,RKS,ROTA PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,107.95,3,3.6112,10.9136,21.8011,26.629,,,,,,,1.2,0.0,0.0,
841,PKR,ROTA PORTFÖY PARA PİYASASI KATILIM FONU,Katılım Şemsiye Fonu,57.21,3,3.5661,,,,,,,,,,1.0,0.0,0.0,
842,SBH,SPARTA PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,62.97,7,20.156,,,,,,,,,,3.0,3.0,0.0,
843,SPP,SPARTA PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,235.42,1,3.6104,,,,,,,,,,1.0,1.0,0.0,
844,LPH,STATECH PORTFÖY İKİNCİ ALPHA SERBEST FON,Serbest Şemsiye Fonu,34.51,7,3.4617,10.0173,-7.583,-13.7933,,,,,,,3.5,3.5,0.0,
845,SKO,STRATEJİ PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,6.73,6,,,,,,,,,,,3.0,3.0,0.0,
846,DNK,TACİRLER PORTFÖY DENGE KATILIM SERBEST FON,Serbest Şemsiye Fonu,62.22,7,2.6605,9.3743,19.1142,,,,,,,,3.0,3.0,0.0,
847,NOI,TACİRLER PORTFÖY NOVA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest Şemsiye Fonu,506.23,7,,,,,,,,,,,3.0,3.0,0.0,
848,PTE,TEB PORTFÖY BİRİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,31790.0,7,3.8202,12.3601,,,,,,,,,0.75,0.75,0.0,
849,MRI,TEB PORTFÖY MERİDYEN SERBEST FON,Serbest Şemsiye Fonu,3.84,7,-0.7118,6.9001,15.294,19.5318,,,,,,,2.5,2.5,0.0,
850,TRJ,TERA PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,233.32,2,3.7589,12.9119,,,,,,,,,0.0,1.5,0.0,
851,DOH,TERA PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,118.32,7,9.8501,21.4815,,,,,,,,,0.0,2.0,0.0,
852,THF,TERA PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,136.21,6,7.6345,16.1472,,,,,,,,,0.0,2.25,0.0,
853,TRU,TERA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,203.31,7,2.7722,6.2152,17.5388,20.1655,,,,,,,0.0,1.0,0.0,
854,TP2,TERA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,9440.0,1,4.0063,12.8082,26.5099,,,,,,,,1.0,1.0,0.0,
855,KRA,TRİVE PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,Katılım Şemsiye Fonu,,3,2.2266,6.4055,15.0395,19.2382,,,,,,,1.2,1.2,0.0,
856,CKL,YAPI KREDİ PORTFÖY ÇOKLU VARLIK DEĞİŞKEN FON,Değişken Şemsiye Fonu,34.04,4,4.2785,,,,,,,,,,2.0,2.0,0.0,
857,FLS,YAPI KREDİ PORTFÖY FLORYA SERBEST (DÖVİZ-AVRO) FON,Serbest Şemsiye Fonu,1250.0,7,1.1767,14.1157,,,,,,,,,0.75,0.75,0.0,
858,YIK,YAPI KREDİ PORTFÖY İKİNCİ PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,293.67,7,,,,,,,,,,,0.79,0.79,0.0,
859,YHI,YAPI KREDİ PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,74.19,7,5.6642,17.8821,,,,,,,,,3.0,3.0,0.0,
860,YMH,YAPI KREDİ PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,557.04,7,2.9172,9.2362,,,,,,,,,2.5,2.5,0.0,
861,PKT,YAPI KREDİ PORTFÖY PARA PİYASASI KATILIM SERBEST (TL) FON,Serbest Şemsiye Fonu,631.62,7,3.7583,,,,,,,,,,0.6,0.6,0.0,
862,YSO,YAPI KREDİ PORTFÖY SAĞLIK SEKTÖRÜ SERBEST FON,Serbest Şemsiye Fonu,51.72,7,1.6345,8.2722,,,,,,,,,2.5,2.5,0.0,
